year,title,published_at,updated_at,category,nominee,artist,workers,img,winner,nominee_length
1981,24th Annual GRAMMY Awards  (1981),2017-11-28T00:03:45-08:00,2019-09-10T01:06:59-07:00,best classical performance - instrumental soloist or soloists (with orchestra),Isaac Stern 60th Anniversary Celebration,Desconocido,"Itzhak Perlman, Isaac Stern & Pinchas Zukerman, artists (New York Philharmonic)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Itzhak%2BPerlman/Itzhak%2520Perlman_1_1_1581553577.jpg?itok=6_Age2Bj,True,40
1981,24th Annual GRAMMY Awards  (1981),2017-11-28T00:03:45-08:00,2019-09-10T01:06:59-07:00,best classical performance - instrumental soloist or soloists (without orchestra),The Horowitz Concerts 1979/80,Desconocido,"Vladimir Horowitz, artist",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Vladimir%2BHorowitz/Vladimir%2520Horowitz_1_1_1597176026.jpg?itok=QiT9d29e,True,29
1981,24th Annual GRAMMY Awards  (1981),2017-11-28T00:03:45-08:00,2019-09-10T01:06:59-07:00,best classical vocal soloist performance,Live From Lincoln Center - Sutherland/Horne/Pavarotti,Desconocido,(Richard Bonynge; New York City Opera Orchestra),Desconocido,True,53
1981,24th Annual GRAMMY Awards  (1981),2017-11-28T00:03:45-08:00,2019-09-10T01:06:59-07:00,"best engineered recording, classical",Isaac Stern 60th Anniversary Celebration,Desconocido,"Edward (Bud) T. Graham, Andrew Kazdin & Ray Moore, engineers (Zubin Mehta, conductor; Isaac Stern, violin; Pinchas Zukerman, violin; Itzhak Perlman, violin)",Desconocido,True,40
1981,24th Annual GRAMMY Awards  (1981),2017-11-28T00:03:45-08:00,2019-09-10T01:06:59-07:00,classical producer of the year,James Mallinson,Desconocido,Desconocido,Desconocido,True,15
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,record of the year,Sailing,Christopher Cross,"Michael Omartian, producer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Christopher%2BCross/Christopher%2520Cross_1_1_1581554585.jpg?itok=sDilUxBw,True,7
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,album of the year,Christopher Cross,Christopher Cross,"Michael Omartian, producer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Christopher%2BCross/Christopher%2520Cross_1_1_1581554585.jpg?itok=sDilUxBw,True,17
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,song of the year,Sailing,Desconocido,"Christopher Cross, songwriter (Christopher Cross)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Christopher%2BCross/Christopher%2520Cross_1_1_1581554585.jpg?itok=sDilUxBw,True,7
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,best new artist,Christopher Cross,Desconocido,Desconocido,Desconocido,True,17
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,"best pop vocal performance, female",The Rose,Bette Midler,Desconocido,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Bette%2BMidler/Bette%2520Midler_1_1_1575359591.jpg?itok=7Wx-nTh_,True,8
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,"best pop vocal performance, male",This Is It,Kenny Loggins,Desconocido,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Kenny%2BLoggins/Kenny%2520Loggins_1_1_1575371541.jpg?itok=7npKDoJS,True,10
